description;address;area;bedroom;bathroom;garage;price;maintenance_fee;prop_link
Apartamento com 3 Quartos à Venda, 53m²;Rua Alfredo José Pinto, 1640 - Fazendinha, Curitiba - PR;53;3;1;1;R$ 185.000;R$ 392;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2570851862/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de     R$ 200.237;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 3 Quartos à Venda, 66m²;Rua Deputado Waldemiro Pedroso, 1063 - Novo Mundo, Curitiba - PR;66;3;2;1;R$ 269.990;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-66m2-venda-RS269990-id-2571354945/
Apartamento com 2 Quartos à Venda, 63m²;Rua João Alencar Guimarães, 1085 - Santa Quitéria, Curitiba - PR;63;2;2;1;R$ 439.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-quiteria-bairros-curitiba-com-garagem-63m2-venda-RS439000-id-2565375785/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 649.900;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento com 4 Quartos à Venda, 220m²;Avenida Iguaçu, 2663 - Batel, Curitiba - PR;220;4;5;3;R$ 3.899.000;R$ 2.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 595.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.220.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1220000-id-2535740776/
Easy District;Rua Desembargador Westphalen, 450 - Centro, Curitiba - PR;18-34;1-2;1;--;A partir de     R$ 221.000;;https://www.vivareal.com.br/imoveis-lancamento/easy-district-2569691143/
Apartamento com 3 Quartos à Venda, 86m²;Alameda Doutor Muricy, 209 - Centro, Curitiba - PR;86;3;2;--;R$ 250.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-86m2-venda-RS250000-id-2582761522/
